Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
UMMS,SKBO,1,1322,316,1638,1.211
UMMS,SKBO,2,1875,254,2129,1.110
UMMS,SKBO,2,1888,132,2020,2.024
UMMS,SKBO,1,1322,311,1633,1.109
UMMS,SKBO,2,1876,137,2013,0.891
UMMS,SKBO,2,1811,204,2015,1.170
UMMS,SKBO,2,1868,319,2187,1.531
UMMS,SKBO,2,1876,330,2206,1.487
UMMS,SKBO,2,1874,232,2106,1.127
UMMS,SKBO,1,1324,200,1524,1.441
UMMS,SKBO,2,1814,140,1954,1.198
UMMS,SKBO,1,1324,583,1907,1.010
UMMS,SKBO,1,1322,233,1555,1.464
UMMS,SKBO,2,1870,349,2219,1.572
UMMS,SKBO,2,1808,273,2081,1.156
UMMS,SKBO,2,1868,361,2229,2.293
UMMS,SKBO,2,1876,93,1969,1.241
UMMS,SKBO,2,1870,119,1989,1.159
UMMS,SKBO,2,1814,123,1937,1.452
UMMS,SKBO,1,1322,203,1525,1.061
UMMS,SKBO,2,1875,227,2102,1.106
UMMS,SKBO,2,1758,519,2277,1.666
UMMS,SKBO,1,1324,416,1740,1.098
UMMS,SKBO,1,1324,106,1430,1.048
UMMS,SKBO,2,1876,255,2131,2.110
UMMS,SKBO,2,1874,147,2021,1.276
UMMS,SKBO,2,1871,188,2059,1.964
UMMS,SKBO,2,1814,242,2056,1.479
UMMS,SKBO,1,1324,482,1806,1.380
UMMS,SKBO,1,1324,101,1425,2.135
UMMS,SKBO,1,1322,91,1413,1.097
UMMS,SKBO,2,1814,204,2018,1.440
UMMS,SKBO,1,1322,522,1844,1.145
UMMS,SKBO,1,1324,520,1844,1.269
UMMS,SKBO,2,1870,259,2129,1.799
UMMS,SKBO,1,1324,383,1707,1.170
UMMS,SKBO,2,1808,75,1883,0.963
UMMS,SKBO,2,1888,169,2057,1.246
UMMS,SKBO,2,1870,174,2044,1.573
UMMS,SKBO,2,1881,301,2182,1.254
UMMS,SKBO,1,1322,484,1806,1.531
UMMS,SKBO,1,1322,632,1954,1.622
UMMS,SKBO,2,1818,363,2181,1.647
UMMS,SKBO,1,1322,35,1357,2.103
UMMS,SKBO,1,1322,37,1359,2.257
UMMS,SKBO,2,1863,116,1979,2.292
UMMS,SKBO,2,1808,172,1980,2.097
UMMS,SKBO,1,1322,510,1832,1.207
UMMS,SKBO,1,1322,574,1896,1.877
UMMS,SKBO,1,1324,275,1599,1.724
UMMS,SKBO,2,1888,165,2053,1.243
UMMS,SKBO,1,1324,210,1534,1.320
UMMS,SKBO,2,1876,293,2169,1.720
UMMS,SKBO,2,1870,326,2196,1.526
UMMS,SKBO,2,1818,386,2204,1.954
UMMS,SKBO,1,1324,209,1533,1.541
UMMS,SKBO,2,1814,203,2017,1.227
