Origin,Destination,N_flights,Flight_time,Wait_time,Total_time,Exec_time
LDZA,ESKN,1,608,196,804,0.461
LDZA,ESKN,1,608,182,790,0.507
LDZA,ESKN,2,1166,208,1374,0.452
LDZA,ESKN,2,1267,81,1348,0.509
LDZA,ESKN,2,1154,161,1315,0.690
LDZA,ESKN,2,1092,315,1407,0.572
LDZA,ESKN,1,608,825,1433,0.438
LDZA,ESKN,2,1092,143,1235,0.459
LDZA,ESKN,1,604,501,1105,0.464
LDZA,ESKN,1,604,177,781,0.381
LDZA,ESKN,2,1157,272,1429,0.465
LDZA,ESKN,1,604,104,708,0.433
LDZA,ESKN,2,1267,67,1334,0.644
LDZA,ESKN,2,1144,88,1232,0.479
LDZA,ESKN,1,608,838,1446,0.470
LDZA,ESKN,2,1157,383,1540,0.460
LDZA,ESKN,2,1155,200,1355,0.353
LDZA,ESKN,2,1150,186,1336,0.528
LDZA,ESKN,1,604,586,1190,0.500
LDZA,ESKN,1,608,504,1112,0.415
LDZA,ESKN,2,1158,168,1326,0.488
LDZA,ESKN,2,1267,99,1366,0.444
LDZA,ESKN,2,1151,250,1401,0.708
LDZA,ESKN,1,604,363,967,0.566
LDZA,ESKN,1,604,491,1095,0.502
LDZA,ESKN,2,1151,293,1444,0.492
LDZA,ESKN,1,608,718,1326,0.683
LDZA,ESKN,2,1151,370,1521,0.689
LDZA,ESKN,2,1161,137,1298,0.428
LDZA,ESKN,1,604,198,802,0.439
LDZA,ESKN,2,1161,300,1461,0.517
LDZA,ESKN,2,1092,215,1307,0.803
LDZA,ESKN,1,608,439,1047,0.797
LDZA,ESKN,1,608,677,1285,0.487
LDZA,ESKN,2,1152,369,1521,0.761
LDZA,ESKN,1,608,273,881,0.501
LDZA,ESKN,2,1151,109,1260,0.569
LDZA,ESKN,1,608,328,936,0.537
LDZA,ESKN,2,1150,124,1274,0.565
LDZA,ESKN,1,604,16,620,0.468
LDZA,ESKN,2,1151,180,1331,0.441
LDZA,ESKN,1,608,570,1178,0.680
LDZA,ESKN,2,1147,237,1384,0.440
LDZA,ESKN,2,1157,303,1460,0.535
LDZA,ESKN,2,1147,121,1268,0.461
LDZA,ESKN,1,604,106,710,0.446
LDZA,ESKN,1,604,151,755,0.623
LDZA,ESKN,2,1150,86,1236,0.423
LDZA,ESKN,1,608,615,1223,0.433
LDZA,ESKN,2,1144,191,1335,0.462
LDZA,ESKN,2,1150,163,1313,0.658
LDZA,ESKN,1,608,437,1045,0.583
LDZA,ESKN,2,1151,238,1389,0.498
