Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
EDDI,LBSF,1044,1044,0.500,0.311
EDDI,LBSF,1394,1394,0.427,0.522
EDDI,LBSF,1045,1045,0.473,0.327
EDDI,LBSF,1327,1327,0.367,0.444
EDDI,LBSF,1614,1614,0.783,0.670
EDDI,LBSF,908,908,0.823,0.598
EDDI,LBSF,1537,1537,0.806,0.606
EDDI,LBSF,1308,1308,0.881,0.581
EDDI,LBSF,1312,1312,0.715,0.390
EDDI,LBSF,1256,1256,0.658,0.494
EDDI,LBSF,899,899,0.558,0.517
EDDI,LBSF,1029,1029,0.427,0.298
EDDI,LBSF,1546,1546,0.315,0.307
EDDI,LBSF,1296,1296,0.635,0.493
EDDI,LBSF,1634,1634,0.647,0.475
EDDI,LBSF,1503,1503,0.406,0.346
EDDI,LBSF,1310,1310,0.409,0.317
EDDI,LBSF,1361,1361,0.327,0.292
EDDI,LBSF,803,803,0.383,0.322
EDDI,LBSF,1340,1340,0.538,0.388
EDDI,LBSF,1315,1315,0.579,0.445
EDDI,LBSF,1361,1361,0.434,0.465
EDDI,LBSF,1225,1225,0.358,0.322
EDDI,LBSF,1372,1372,0.418,0.346
EDDI,LBSF,999,999,0.407,0.323
EDDI,LBSF,1399,1399,0.360,0.309
EDDI,LBSF,1305,1305,0.310,0.294
EDDI,LBSF,1331,1331,0.411,0.437
EDDI,LBSF,927,927,0.612,0.325
EDDI,LBSF,1366,1366,0.304,0.293
EDDI,LBSF,1448,1448,0.483,0.478
EDDI,LBSF,1352,1352,0.634,0.427
EDDI,LBSF,1263,1263,0.344,0.277
EDDI,LBSF,1298,1298,0.482,0.329
EDDI,LBSF,1489,1489,0.495,0.326
EDDI,LBSF,1044,1044,0.666,0.328
EDDI,LBSF,1175,1175,0.300,0.275
EDDI,LBSF,1429,1429,0.310,0.298
EDDI,LBSF,1236,1236,0.784,0.682
EDDI,LBSF,938,938,0.600,0.338
EDDI,LBSF,686,686,0.595,0.387
EDDI,LBSF,1690,1690,0.861,0.616
EDDI,LBSF,1325,1325,0.850,0.441
EDDI,LBSF,812,812,0.702,0.574
EDDI,LBSF,1729,1729,0.486,0.337
EDDI,LBSF,1162,1162,0.724,0.315
EDDI,LBSF,1223,1223,0.510,0.595
EDDI,LBSF,1589,1589,0.526,0.395
EDDI,LBSF,895,895,0.609,0.479
EDDI,LBSF,1564,1564,0.448,0.344
EDDI,LBSF,1441,1441,0.382,0.337
EDDI,LBSF,1453,1453,0.433,0.624
EDDI,LBSF,1148,1148,0.625,0.524
EDDI,LBSF,1536,1536,0.663,0.440
EDDI,LBSF,1243,1243,0.520,0.361
EDDI,LBSF,1167,1167,0.486,0.336
EDDI,LBSF,1566,1566,0.966,0.587
EDDI,LBSF,1357,1357,0.910,0.379
EDDI,LBSF,1310,1310,0.732,0.341
EDDI,LBSF,1211,1211,0.810,0.530
EDDI,LBSF,1500,1500,0.499,0.357
EDDI,LBSF,1566,1566,0.811,0.550
EDDI,LBSF,1258,1258,0.460,0.342
EDDI,LBSF,1294,1294,0.677,0.456
EDDI,LBSF,1356,1356,0.644,0.625
EDDI,LBSF,666,666,0.800,0.407
EDDI,LBSF,1209,1209,0.804,0.685
EDDI,LBSF,1258,1258,0.627,0.518
EDDI,LBSF,1318,1318,0.501,0.409
EDDI,LBSF,1328,1328,0.509,0.363
EDDI,LBSF,1369,1369,0.460,0.313
EDDI,LBSF,1325,1325,0.473,0.317
EDDI,LBSF,1490,1490,0.763,0.447
EDDI,LBSF,1412,1412,0.447,0.322
EDDI,LBSF,1340,1340,0.763,0.668
EDDI,LBSF,1391,1391,0.640,0.397
EDDI,LBSF,1511,1511,0.435,0.327
EDDI,LBSF,1239,1239,0.560,0.524
EDDI,LBSF,1442,1442,0.517,0.380
EDDI,LBSF,1724,1724,0.422,0.445
EDDI,LBSF,1247,1247,0.719,0.505
EDDI,LBSF,1374,1374,0.439,0.354
