Origin,Destination,N_flights,Flight_time,Wait_time,Total_time
SBBR,UMMS,1,1212,78,1290
SBBR,UMMS,1,1212,597,1809
SBBR,UMMS,1,1212,69,1281
SBBR,UMMS,1,1200,290,1490
SBBR,UMMS,1,1200,749,1949
SBBR,UMMS,2,1692,143,1835
SBBR,UMMS,1,1212,484,1696
SBBR,UMMS,1,1200,158,1358
SBBR,UMMS,1,1200,745,1945
SBBR,UMMS,1,1212,68,1280
SBBR,UMMS,1,1212,533,1745
SBBR,UMMS,2,1766,162,1928
SBBR,UMMS,1,1212,190,1402
SBBR,UMMS,2,1762,370,2132
SBBR,UMMS,1,1212,211,1423
SBBR,UMMS,2,1755,552,2307
SBBR,UMMS,1,1200,308,1508
SBBR,UMMS,2,1755,432,2187
SBBR,UMMS,1,1200,712,1912
SBBR,UMMS,2,1759,261,2020
SBBR,UMMS,1,1212,176,1388
SBBR,UMMS,1,1200,115,1315
SBBR,UMMS,2,1755,660,2415
SBBR,UMMS,2,1746,691,2437
SBBR,UMMS,2,1755,306,2061
SBBR,UMMS,1,1200,434,1634
SBBR,UMMS,1,1200,124,1324
SBBR,UMMS,2,1749,587,2336
SBBR,UMMS,2,1752,502,2254
SBBR,UMMS,2,1747,554,2301
SBBR,UMMS,2,1755,585,2340
SBBR,UMMS,1,1200,698,1898
SBBR,UMMS,2,1748,815,2563
SBBR,UMMS,1,1212,431,1643
SBBR,UMMS,1,1212,750,1962
SBBR,UMMS,2,1743,207,1950
SBBR,UMMS,1,1200,52,1252
SBBR,UMMS,1,1212,668,1880
SBBR,UMMS,1,1200,756,1956
SBBR,UMMS,1,1200,296,1496
SBBR,UMMS,1,1212,267,1479
SBBR,UMMS,1,1212,410,1622
SBBR,UMMS,1,1200,377,1577
SBBR,UMMS,1,1200,276,1476
SBBR,UMMS,2,1753,768,2521
SBBR,UMMS,2,1702,290,1992
SBBR,UMMS,1,1200,491,1691
SBBR,UMMS,1,1200,339,1539
SBBR,UMMS,1,1200,452,1652
SBBR,UMMS,1,1212,252,1464
SBBR,UMMS,1,1200,237,1437
SBBR,UMMS,2,1766,202,1968
SBBR,UMMS,2,1762,225,1987
SBBR,UMMS,2,1861,702,2563
SBBR,UMMS,3,2197,540,2737
SBBR,UMMS,1,1200,637,1837
SBBR,UMMS,2,1743,207,1950
SBBR,UMMS,2,1755,401,2156
SBBR,UMMS,1,1200,363,1563
SBBR,UMMS,1,1200,1034,2234
SBBR,UMMS,2,1698,480,2178
SBBR,UMMS,1,1200,715,1915
SBBR,UMMS,2,1695,257,1952
SBBR,UMMS,1,1212,228,1440
SBBR,UMMS,2,1695,522,2217
SBBR,UMMS,2,1696,632,2328
SBBR,UMMS,1,1212,586,1798
SBBR,UMMS,1,1200,36,1236
SBBR,UMMS,2,1753,747,2500
SBBR,UMMS,2,1750,361,2111
SBBR,UMMS,2,1755,714,2469
SBBR,UMMS,1,1200,503,1703
SBBR,UMMS,2,1761,479,2240
SBBR,UMMS,2,1695,344,2039
SBBR,UMMS,2,1692,542,2234
SBBR,UMMS,1,1200,882,2082
SBBR,UMMS,1,1200,74,1274
SBBR,UMMS,1,1200,620,1820
SBBR,UMMS,2,1764,754,2518
SBBR,UMMS,2,1758,440,2198
SBBR,UMMS,2,1766,220,1986
SBBR,UMMS,2,1695,242,1937
SBBR,UMMS,2,1743,603,2346
SBBR,UMMS,2,1755,216,1971
SBBR,UMMS,1,1212,696,1908
SBBR,UMMS,1,1200,327,1527
SBBR,UMMS,2,1747,414,2161
SBBR,UMMS,1,1212,622,1834
SBBR,UMMS,1,1212,375,1587
SBBR,UMMS,1,1200,716,1916
SBBR,UMMS,2,1692,571,2263
SBBR,UMMS,2,1741,506,2247
SBBR,UMMS,2,1761,579,2340
SBBR,UMMS,2,1747,44,1791
SBBR,UMMS,2,1746,554,2300
SBBR,UMMS,1,1200,144,1344
SBBR,UMMS,2,1695,193,1888
SBBR,UMMS,1,1212,218,1430
SBBR,UMMS,2,1755,365,2120
SBBR,UMMS,2,1754,544,2298
SBBR,UMMS,2,1752,392,2144
SBBR,UMMS,2,1752,594,2346
SBBR,UMMS,1,1212,929,2141
SBBR,UMMS,2,1868,326,2194
SBBR,UMMS,2,1755,587,2342
SBBR,UMMS,1,1200,768,1968
SBBR,UMMS,2,1698,576,2274
SBBR,UMMS,2,1752,432,2184
SBBR,UMMS,2,1756,333,2089
SBBR,UMMS,3,2235,501,2736
SBBR,UMMS,2,1762,530,2292
SBBR,UMMS,2,1875,553,2428
SBBR,UMMS,1,1212,56,1268
SBBR,UMMS,2,1691,488,2179
SBBR,UMMS,2,1754,445,2199
SBBR,UMMS,2,1748,486,2234
SBBR,UMMS,2,1762,451,2213
SBBR,UMMS,2,1692,267,1959
SBBR,UMMS,2,1755,428,2183
SBBR,UMMS,2,1747,426,2173
SBBR,UMMS,2,1875,171,2046
SBBR,UMMS,2,1702,207,1909
SBBR,UMMS,2,1746,936,2682
SBBR,UMMS,1,1200,851,2051
SBBR,UMMS,1,1200,450,1650
SBBR,UMMS,2,1751,857,2608
SBBR,UMMS,2,1757,472,2229
SBBR,UMMS,2,1698,672,2370
SBBR,UMMS,2,1698,667,2365
SBBR,UMMS,1,1200,680,1880
SBBR,UMMS,1,1200,200,1400
SBBR,UMMS,2,1698,84,1782
SBBR,UMMS,2,1752,234,1986
SBBR,UMMS,2,1750,302,2052
SBBR,UMMS,2,1749,639,2388
SBBR,UMMS,2,1987,668,2655
SBBR,UMMS,2,1695,429,2124
SBBR,UMMS,1,1200,454,1654
SBBR,UMMS,2,1698,199,1897
SBBR,UMMS,2,1749,278,2027
SBBR,UMMS,2,1698,271,1969
SBBR,UMMS,2,1760,458,2218
SBBR,UMMS,1,1212,577,1789
SBBR,UMMS,2,1698,426,2124
SBBR,UMMS,2,1752,578,2330
SBBR,UMMS,2,1698,180,1878
SBBR,UMMS,2,1755,498,2253
SBBR,UMMS,2,1749,475,2224
SBBR,UMMS,1,1212,251,1463
SBBR,UMMS,2,1744,528,2272
SBBR,UMMS,1,1212,515,1727
SBBR,UMMS,2,1691,140,1831
SBBR,UMMS,2,1691,119,1810
SBBR,UMMS,2,1692,355,2047
SBBR,UMMS,1,1200,675,1875
SBBR,UMMS,1,1212,182,1394
SBBR,UMMS,2,1747,384,2131
SBBR,UMMS,1,1200,816,2016
SBBR,UMMS,2,1755,456,2211
SBBR,UMMS,1,1212,385,1597
SBBR,UMMS,2,1766,282,2048
SBBR,UMMS,1,1200,646,1846
SBBR,UMMS,2,1875,198,2073
SBBR,UMMS,1,1200,1151,2351
SBBR,UMMS,2,1755,567,2322
SBBR,UMMS,2,1819,483,2302
SBBR,UMMS,1,1212,241,1453
SBBR,UMMS,2,1755,297,2052
SBBR,UMMS,2,1754,376,2130
SBBR,UMMS,2,1755,513,2268
SBBR,UMMS,2,1756,257,2013
SBBR,UMMS,2,1756,596,2352
SBBR,UMMS,2,1698,289,1987
SBBR,UMMS,2,1698,122,1820
SBBR,UMMS,2,1748,220,1968
SBBR,UMMS,2,1746,228,1974
SBBR,UMMS,2,1702,440,2142
SBBR,UMMS,1,1212,336,1548
SBBR,UMMS,2,1695,397,2092
SBBR,UMMS,1,1212,806,2018
SBBR,UMMS,1,1200,893,2093
SBBR,UMMS,2,1755,370,2125
SBBR,UMMS,2,1756,328,2084
SBBR,UMMS,2,1755,508,2263
SBBR,UMMS,2,1751,412,2163
SBBR,UMMS,2,1759,354,2113
SBBR,UMMS,1,1200,658,1858
SBBR,UMMS,2,1758,621,2379
SBBR,UMMS,2,1749,168,1917
SBBR,UMMS,3,2248,606,2854
SBBR,UMMS,1,1212,260,1472
SBBR,UMMS,2,1760,343,2103
SBBR,UMMS,1,1200,196,1396
SBBR,UMMS,2,1760,707,2467
