Origin,Destination,Total_time1,Total_time2,Exec_time1,Exec_time2
BIKF,SVMI,2098,2098,1.664,0.758
BIKF,SVMI,2203,2203,0.977,0.485
BIKF,SVMI,2243,2243,1.152,0.695
BIKF,SVMI,2217,2217,0.795,0.367
BIKF,SVMI,2589,2589,1.225,0.965
BIKF,SVMI,2315,2315,1.679,0.636
BIKF,SVMI,2239,2239,0.809,0.388
BIKF,SVMI,2300,2300,0.986,0.373
BIKF,SVMI,2180,2180,1.471,1.218
BIKF,SVMI,2308,2308,1.024,0.472
BIKF,SVMI,2311,2311,0.920,0.555
BIKF,SVMI,2381,2381,0.937,0.426
BIKF,SVMI,2737,2737,1.706,0.656
BIKF,SVMI,2394,2394,1.062,0.453
BIKF,SVMI,2470,2470,0.830,0.377
BIKF,SVMI,2826,2826,1.045,0.461
BIKF,SVMI,2098,2098,1.692,0.704
BIKF,SVMI,2642,2642,1.784,0.884
BIKF,SVMI,2113,2113,1.823,0.842
BIKF,SVMI,2468,2468,1.901,0.861
BIKF,SVMI,2161,2161,1.633,0.706
BIKF,SVMI,2082,2082,1.519,0.564
BIKF,SVMI,2380,2380,1.269,0.547
BIKF,SVMI,1991,1991,1.573,0.549
BIKF,SVMI,2236,2236,1.171,0.582
BIKF,SVMI,2456,2456,1.874,0.777
BIKF,SVMI,2434,2434,1.745,1.033
BIKF,SVMI,3018,3018,1.580,0.581
BIKF,SVMI,2166,2166,1.214,0.733
BIKF,SVMI,2157,2157,1.340,0.593
BIKF,SVMI,2737,2737,1.398,0.520
BIKF,SVMI,2390,2390,1.370,1.152
BIKF,SVMI,2229,2229,1.222,0.666
BIKF,SVMI,2450,2450,0.974,0.415
BIKF,SVMI,2579,2579,1.432,0.714
BIKF,SVMI,2180,2180,1.827,0.675
BIKF,SVMI,2251,2251,1.445,0.817
BIKF,SVMI,2129,2129,1.120,0.426
BIKF,SVMI,2278,2278,1.244,0.707
BIKF,SVMI,2166,2166,2.427,0.796
BIKF,SVMI,2706,2706,1.162,0.629
BIKF,SVMI,2102,2102,0.960,0.563
BIKF,SVMI,2187,2187,1.616,0.711
BIKF,SVMI,1928,1928,0.928,0.522
BIKF,SVMI,2433,2433,1.310,0.548
BIKF,SVMI,2451,2451,1.172,0.468
BIKF,SVMI,1901,1901,1.334,0.824
BIKF,SVMI,2148,2148,1.342,0.523
BIKF,SVMI,2691,2691,1.076,0.416
BIKF,SVMI,2213,2213,0.761,0.605
BIKF,SVMI,2074,2074,1.424,0.732
BIKF,SVMI,2099,2099,1.212,0.506
BIKF,SVMI,2285,2285,1.007,0.650
BIKF,SVMI,2517,2517,1.791,0.729
BIKF,SVMI,1995,1995,1.161,0.792
BIKF,SVMI,2267,2267,1.466,0.747
BIKF,SVMI,2357,2357,1.184,0.620
BIKF,SVMI,2324,2324,2.114,0.724
BIKF,SVMI,2225,2225,1.017,0.409
BIKF,SVMI,2179,2179,1.319,0.635
BIKF,SVMI,2221,2221,1.629,0.924
BIKF,SVMI,2416,2416,1.607,0.845
BIKF,SVMI,2512,2512,1.962,0.885
BIKF,SVMI,2043,2043,1.895,1.106
BIKF,SVMI,2154,2154,2.945,0.888
BIKF,SVMI,2463,2463,1.148,0.555
BIKF,SVMI,1986,1986,1.492,0.601
BIKF,SVMI,2181,2181,1.358,0.477
BIKF,SVMI,2563,2563,1.065,0.681
BIKF,SVMI,2023,2023,1.701,0.756
BIKF,SVMI,2931,2931,0.950,0.452
BIKF,SVMI,2392,2392,2.166,0.742
BIKF,SVMI,2356,2356,1.337,0.740
BIKF,SVMI,2360,2360,3.352,0.848
BIKF,SVMI,2415,2415,0.902,0.882
BIKF,SVMI,2164,2164,1.237,0.487
BIKF,SVMI,2426,2426,2.927,0.871
BIKF,SVMI,2591,2591,0.919,0.439
BIKF,SVMI,2128,2128,1.057,0.422
BIKF,SVMI,2378,2378,1.025,0.942
BIKF,SVMI,2639,2639,1.377,0.827
BIKF,SVMI,2421,2421,1.052,0.705
BIKF,SVMI,2233,2233,1.350,0.801
BIKF,SVMI,1996,1996,2.078,1.687
BIKF,SVMI,2620,2620,1.628,0.730
BIKF,SVMI,2268,2268,1.589,0.883
BIKF,SVMI,2682,2682,2.737,0.794
BIKF,SVMI,1971,1971,1.135,0.423
BIKF,SVMI,2500,2500,0.933,0.437
